Rank,Name,Price,24h Change %,Market Cap,Timestamp
1,"CoinMarketCap 20 Index DTF
CMC20",188.97,0.56,4830431,07-12-2025 14:03
2,"Bitcoin
BTC",89361.77,0.04,35424707687,07-12-2025 14:03
3,"Ethereum
ETH",3036.29,0.11,10035710470,07-12-2025 14:03
4,"Tether
USDT",1,0.02,50142659804,07-12-2025 14:03
5,"BNB
BNB",891.03,0.39,1390547732,07-12-2025 14:03
6,"XRP
XRP",2.02,0.44,1707747028,07-12-2025 14:03
7,"USDC
USDC",0.9998,0.02,4897165078,07-12-2025 14:03
8,"Solana
SOL",131.95,0.43,2009266972,07-12-2025 14:03
9,"TRON
TRX",0.2856,0.05,514904489,07-12-2025 14:03
10,"Dogecoin
DOGE",0.1393,0.57,585652539,07-12-2025 14:03
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
